0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-0.625851,-0.0607812,0.77757,0,-0.77393,-0.0751565,-0.628796,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-0.625851,-0.0607812,0.77757,0,0.0966612,-0.995317,-1.34376e-06,0,0.773929,0.0751601,0.628796,0,0,0,0,1|-0.625851,-0.0607812,0.77757,0,0.0966612,-0.995317,-1.34376e-06,0,0.773929,0.0751601,0.628796,0,0.193482,0.01879,0.157199,1|-0.625851,-0.0607812,0.77757,0,0.773929,0.0751637,0.628796,0,-0.096664,0.995317,-9.32479e-07,0,0.193482,0.01879,0.157199,1|-0.625851,-0.0607812,0.77757,0,0.773929,0.0751637,0.628796,0,-0.096664,0.995317,-9.32479e-07,0,0.169316,0.267619,0.157199,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-0.994113,-0.0965412,-0.0491865,0,0.0489558,0.00475789,-0.99879,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-0.994113,-0.0965412,-0.0491865,0,0.0966582,-0.995318,-4.38149e-09,0,-0.0489562,-0.00475428,0.99879,0,0,0,0,1|-0.994113,-0.0965412,-0.0491865,0,0.0966582,-0.995318,-4.38149e-09,0,-0.0489562,-0.00475428,0.99879,0,-0.012239,-0.00118857,0.249697,1|-0.994113,-0.0965412,-0.0491865,0,-0.0489565,-0.00475068,0.99879,0,-0.0966581,0.995318,-3.61123e-06,0,-0.012239,-0.00118857,0.249697,1|-0.994113,-0.0965412,-0.0491865,0,-0.0489565,-0.00475068,0.99879,0,-0.0966581,0.995318,-3.61123e-06,0,-0.0364036,0.247641,0.249696,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-0.755326,-0.0733497,-0.651231,0,0.648182,0.0629497,-0.758879,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-0.755326,-0.0733497,-0.651231,0,0.0966561,-0.995318,-8.72855e-07,0,-0.648182,-0.0629461,0.758879,0,0,0,0,1|-0.755326,-0.0733497,-0.651231,0,0.0966561,-0.995318,-8.72855e-07,0,-0.648182,-0.0629461,0.758879,0,-0.162046,-0.0157365,0.18972,1|-0.755326,-0.0733497,-0.651231,0,-0.648183,-0.0629425,0.758879,0,-0.0966537,0.995318,-1.87428e-06,0,-0.162046,-0.0157365,0.18972,1|-0.755326,-0.0733497,-0.651231,0,-0.648183,-0.0629425,0.758879,0,-0.0966537,0.995318,-1.87428e-06,0,-0.186209,0.233093,0.189719,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-0.257407,-0.0249941,-0.96598,0,0.961457,0.093371,-0.258618,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-0.257407,-0.0249941,-0.96598,0,0.0966549,-0.995318,-2.6838e-06,0,-0.961457,-0.0933674,0.258618,0,0,0,0,1|-0.257407,-0.0249941,-0.96598,0,0.0966549,-0.995318,-2.6838e-06,0,-0.961457,-0.0933674,0.258618,0,-0.240364,-0.0233418,0.0646544,1|-0.257407,-0.0249941,-0.96598,0,-0.961457,-0.0933638,0.258618,0,-0.0966514,0.995318,1.7476e-06,0,-0.240364,-0.0233418,0.0646544,1|-0.257407,-0.0249941,-0.96598,0,-0.961457,-0.0933638,0.258618,0,-0.0966514,0.995318,1.7476e-06,0,-0.264527,0.225488,0.0646549,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|0.215661,0.0209471,-0.976243,0,0.971672,0.0943614,0.216676,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|0.215661,0.0209471,-0.976243,0,0.0966549,-0.995318,-4.40436e-06,0,-0.971673,-0.0943578,-0.216676,0,0,0,0,1|0.215661,0.0209471,-0.976243,0,0.0966549,-0.995318,-4.40436e-06,0,-0.971673,-0.0943578,-0.216676,0,-0.242918,-0.0235894,-0.0541691,1|0.215661,0.0209471,-0.976243,0,-0.971673,-0.0943541,-0.216676,0,-0.0966514,0.995318,5.18872e-06,0,-0.242918,-0.0235894,-0.0541691,1|0.215661,0.0209471,-0.976243,0,-0.971673,-0.0943541,-0.216676,0,-0.0966514,0.995318,5.18872e-06,0,-0.267081,0.22524,-0.0541678,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|0.847287,0.0822847,-0.524722,0,0.522265,0.0507157,0.851274,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|0.847287,0.0822846,-0.524722,0,0.0966565,-0.995318,-6.70159e-06,0,-0.522266,-0.0507121,-0.851274,0,0,0,0,1|0.847287,0.0822846,-0.524722,0,0.0966565,-0.995318,-6.70159e-06,0,-0.522266,-0.0507121,-0.851274,0,-0.130566,-0.012678,-0.212818,1|0.847287,0.0822846,-0.524722,0,-0.522266,-0.0507085,-0.851274,0,-0.0966546,0.995318,9.78319e-06,0,-0.130566,-0.012678,-0.212818,1|0.847287,0.0822846,-0.524722,0,-0.522266,-0.0507085,-0.851274,0,-0.0966546,0.995318,9.78319e-06,0,-0.15473,0.236151,-0.212816,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|0.942381,0.0915164,0.321782,0,-0.320275,-0.0311063,0.946814,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|0.942381,0.0915164,0.321782,0,0.0966596,-0.995318,-7.04745e-06,0,0.320274,0.0311099,-0.946814,0,0,0,0,1|0.942381,0.0915164,0.321782,0,0.0966596,-0.995318,-7.04745e-06,0,0.320274,0.0311099,-0.946814,0,0.0800686,0.00777748,-0.236703,1|0.94238,0.0915163,0.321782,0,0.320274,0.0311135,-0.946814,0,-0.0966607,0.995317,1.04749e-05,0,0.0800686,0.00777748,-0.236703,1|0.94238,0.0915163,0.321782,0,0.320274,0.0311135,-0.946814,0,-0.0966607,0.995317,1.04749e-05,0,0.0559034,0.256607,-0.236701,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|0.612748,0.0595031,0.788035,0,-0.784345,-0.0761724,0.615631,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|0.612748,0.0595031,0.788035,0,0.0966613,-0.995317,-5.84857e-06,0,0.784344,0.076176,-0.615631,0,0,0,0,1|0.612748,0.0595031,0.788035,0,0.0966613,-0.995317,-5.84857e-06,0,0.784344,0.076176,-0.615631,0,0.196086,0.019044,-0.153908,1|0.612748,0.059503,0.788035,0,0.784344,0.0761796,-0.615631,0,-0.0966641,0.995317,8.07715e-06,0,0.196086,0.019044,-0.153908,1|0.612748,0.059503,0.788035,0,0.784344,0.0761796,-0.615631,0,-0.0966641,0.995317,8.07715e-06,0,0.17192,0.267873,-0.153906,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|0.161703,0.0156999,0.986715,0,-0.982094,-0.0953749,0.162463,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|0.161703,0.0156999,0.986715,0,0.096662,-0.995317,-4.20811e-06,0,0.982094,0.0953785,-0.162463,0,0,0,0,1|0.161703,0.0156999,0.986715,0,0.096662,-0.995317,-4.20811e-06,0,0.982094,0.0953785,-0.162463,0,0.245523,0.0238446,-0.0406158,1|0.161703,0.0156999,0.986714,0,0.982094,0.0953821,-0.162463,0,-0.0966655,0.995317,4.79622e-06,0,0.245523,0.0238446,-0.0406158,1|0.161703,0.0156999,0.986714,0,0.982094,0.0953821,-0.162463,0,-0.0966655,0.995317,4.79622e-06,0,0.221357,0.272674,-0.0406146,1||
0.995318,0.0966584,0,0,-0.0966584,0.995318,0,0,0,0,1,0,0,0,0,1|-0.310081,-0.0301163,0.950233,0,-0.945784,-0.0918469,-0.31154,0,0.0966584,-0.995318,-3.61999e-06,0,0,0,0,1|-0.31008,-0.0301163,0.950233,0,0.0966618,-0.995317,-2.49222e-06,0,0.945784,0.0918505,0.31154,0,0,0,0,1|-0.31008,-0.0301163,0.950233,0,0.0966618,-0.995317,-2.49222e-06,0,0.945784,0.0918505,0.31154,0,0.236446,0.0229626,0.0778849,1|-0.31008,-0.0301163,0.950233,0,0.945783,0.0918541,0.31154,0,-0.0966653,0.995317,1.36445e-06,0,0.236446,0.0229626,0.0778849,1|-0.31008,-0.0301163,0.950233,0,0.945783,0.0918541,0.31154,0,-0.0966653,0.995317,1.36445e-06,0,0.21228,0.271792,0.0778852,1||
